ID,COU,RES,SITE,SITE_ID,PLOT,GRAZ,DVS,DSS,STY,TAXOUSDA,TAXNWRB,STE,SDE,VEG,ELE-ALOS30,ELE EGM96,BIOME,DIST_EQUATOR,Lat_decimal,Long_decimal,NDVImean_S2,NDVI_Mean_L8,NDVI_Mean_SD_L8,NDVI_Mean_CV_L8,NDVI_Max_L8,NDVI_Max_SD_L8,NDVI_Max_CV_L8,NDVI_Mean_MODIS,NDVI_SD_Mean_MODIS,NDVI_CV_Mean_MODIS,NDVI_Max_MODIS,NDVI_Max_SD_MODIS,NDVI_Max_CV_MODIS,ASPECT-ALOS30,SLOPE-ALOS30,WP Distance,AMT,MDR,ISO,TSE,MAWM,MIWM,TAR,MTWEQ,MTDQ,MTWAQ,MTCQ,RAI,RAWM,RADM,RASE,RAWEQ,RADQ,RAWAQ,RACQ,MTMAX,MTMIN,AI,AI_v3,ARIDITY,ARIDITY v3
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,3,2017/04/12,2017/04/12,,Orthents,Haplic Calcisols,Loamy Sand,,2,850,845,,35.2675,35.26746,3.22381,0.064037181,0.137907961,0.011497189,0.083368566,0.182226191,0.027593857,0.151426407,0.166820198,0.025660137,0.153819126,0.229625,0.052272231,0.227641727,129,1.4662,653.8847,15.5,12.8,40.02,693.4532,30.6,-1.3,31.9,8.5,24.3,24.3,7.4,312,41,6,37.7375,101,39,39,88,21.8,9.1,0.1681,0.1699,0.8319,0.8301
2,Algeria,"Fateh, Amghar",El Ouassria,1,2,2,2017/04/13,2017/04/13,,Orthents,Haplic Calcisols,Loamy Sand,,1,858,853,,35.2682,35.26817,3.23376,0.081292733,0.167103946,0.01936729,0.115899659,0.235443448,0.036781475,0.156222122,0.193134941,0.022897544,0.118557233,0.268685,0.052294875,0.194632656,270,1.1358,1327.3767,15.4,12.7,39.89,699.3973,30.5,-1.4,31.9,8.3,24.3,24.3,7.2,309,40,6,37.9942,101,38,38,88,21.7,9,0.1661,0.1683,0.8339,0.8317
3,Algeria,"Fateh, Amghar",El Ouassria,1,3,1,2017/04/14,2017/04/14,,Orthents,Haplic Calcisols,Loamy Sand,,1,870,864,,35.2688,35.26881,3.23955,0.076800344,0.16000981,0.017057272,0.106601414,0.214303811,0.042454091,0.198102359,0.185536107,0.025771934,0.138905222,0.257405,0.051760059,0.201084122,270,1.1359,1810.2639,15.4,12.7,39.89,699.3973,30.5,-1.4,31.9,8.3,24.3,24.3,7.2,309,40,6,37.9942,101,38,38,88,21.7,9,0.1661,0.1683,0.8339,0.8317
4,Algeria,"Fateh, Amghar",Hassi Bahbah,2,1,3,2017/04/15,2017/04/15,,Orthents,Haplic Calcisols,Sandy Loam,,2,863,864,,34.9326,34.93256,3.05053,0.073683334,0.12982387,0.006533453,0.050325514,0.162441552,0.004093038,0.02519699,0.156968982,0.016312878,0.103924215,0.218245,0.056164743,0.257347217,90,1.1312,247.4666,15.7,13.7,40.75,729.2507,31.8,-1.8,33.6,13.9,25.1,25.1,7.3,290,38,5,36.5293,90,37,37,80,22.5,8.8,0.1465,0.149,0.8535,0.851
5,Algeria,"Fateh, Amghar",Hassi Bahbah,2,2,2,2017/04/16,2017/04/16,,Orthents,Haplic Calcisols,Loamy Sand,,2,863,865,,34.9328,34.93281,3.05913,0.096409969,0.168357566,0.013053579,0.077534854,0.241743758,0.031518494,0.130379764,0.200047263,0.024739451,0.123668029,0.3308,0.069267696,0.209394486,0,0.9274,539.6291,15.6,13.7,40.75,730.0326,31.8,-1.8,33.6,13.9,25.1,25.1,7.3,290,38,5,36.5293,90,37,37,80,22.5,8.8,0.1462,0.1489,0.8538,0.8511
6,Algeria,"Fateh, Amghar",Hassi Bahbah,2,3,1,2017/04/17,2017/04/17,,Psamments,Rendzic Leptosols,Sand,,2,864,867,,34.9347,34.93471,3.06564,0.115617174,0.194647785,0.003989797,0.020497521,0.362186015,0.054923854,0.151645429,0.149779486,0.017878292,0.119364087,0.243605,0.066694697,0.273782135,90,1.1312,1154.1141,15.7,13.7,40.68,730.3117,31.9,-1.8,33.7,13.9,25.1,25.1,7.3,290,38,5,36.5293,90,37,37,80,22.5,8.8,0.1459,0.1485,0.8541,0.8515
7,Argentina,"Gaitan, Juan",Pilcaniyeu,3,1,3,2017/02/09,2017/02/09,,Orthents,Haplic Regosols (Eutric),Loamy Sand,80,1,1077,1072,,41.041,-41.04097,-70.48775,0.032662981,0.10194822,0.019038421,0.186745988,0.160508047,0.009625593,0.059969539,0.173039308,0.020338499,0.117536872,0.223205,0.032082369,0.143734992,180,2.7803,,8,11.7,41.7,518.0608,21.5,-6.5,28,2.4,14.5,14.5,1.8,430,70,14,55.9977,195,46,46,188,13.9,2.2,0.291,0.2812,0.709,0.7188
8,Argentina,"Gaitan, Juan",Pilcaniyeu,3,2,2,2017/02/07,2017/02/07,,Orthents,Haplic Regosols (Eutric),Loamy Sand,95,1,1073,1074,,41.0325,-41.03246,-70.52356,0.030485216,0.093509501,0.009277998,0.099219847,0.159880618,0.007310257,0.045723225,0.168935751,0.019665856,0.116410267,0.21151,0.016003713,0.075664098,233,1.5398,,8.1,11.7,41.76,517.267,21.5,-6.4,27.9,2.5,14.6,14.6,1.8,443,74,14,57.071,202,46,46,197,13.9,2.3,0.3018,0.2913,0.6982,0.7087
9,Argentina,"Gaitan, Juan",Pilcaniyeu,3,4,0,2017/02/08,2017/02/08,,Orthents,Haplic Regosols (Eutric),Loamy Sand,70,1,1076,1069,,41.0399,-41.03991,-70.4892,0.030100752,0.096202998,0.013987784,0.145398626,0.149632409,0.018771825,0.125452937,0.163099852,0.020629983,0.126486829,0.20785,0.018332987,0.08820297,307,3.0775,,8,11.7,41.7,518.0608,21.5,-6.5,28,2.4,14.5,14.5,1.8,430,70,14,55.9977,195,46,46,188,13.9,2.2,0.291,0.2812,0.709,0.7188
10,Argentina,"Gaitan, Juan",San Ramon,4,1,3,2017/02/13,2017/02/13,,Ustox,Haplic Regosols (Eutric),Sandy Loam,>200,1,1099,1089,,41.0138,-41.0138,-71.04579,0.061173757,0.136377189,0.037033166,0.271549559,0.23965098,0.014511397,0.060552211,0.307950237,0.046680646,0.151585029,0.46138,0.084654727,0.18348157,180,10.0966,,7.6,10.6,41.25,485.4026,19.9,-5.9,25.8,1.7,13.7,13.7,1.7,685,131,18,61.8688,326,65,65,326,12.9,2.2,0.5132,0.4936,0.4868,0.5064
