"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Number.of.replicate";"ID_Microsite";"Species.within.quadrat";"Number.of.individuals";"Cover";"microsite_rep";"Microsite";"GRAZ";"ARIDITY.v3"
40;"Australia";"Eldridge, David";"Fowlers";13;1;1;"Maireana pyramidata";"Maireana turbinata";2;5;"13-1-Maireana pyramidata-1";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;1;"Maireana pyramidata";"Minuria cunninghamii";2;25;"13-1-Maireana pyramidata-1";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;1;"Maireana pyramidata";"Sclerolaena brachyptera";12;15;"13-1-Maireana pyramidata-1";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;1;"Maireana pyramidata";"Sclerolaena ventricosa";10;7;"13-1-Maireana pyramidata-1";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;1;"Maireana pyramidata";"Lotus cruentus";15;2;"13-1-Maireana pyramidata-1";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;1;"Bare";"Sclerolaena brachyptera";16;10;"13-1-Bare-1";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;1;"Bare";"Lotus cruentus";1;1;"13-1-Bare-1";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;2;"Maireana pyramidata";"Sida corrugata";5;1;"13-1-Maireana pyramidata-2";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;2;"Maireana pyramidata";"Lotus cruentus";3;0,5;"13-1-Maireana pyramidata-2";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;2;"Maireana pyramidata";"Sclerolaena brachyptera";5;2;"13-1-Maireana pyramidata-2";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;2;"Maireana pyramidata";"Sclerolaena ventricosa";4;2;"13-1-Maireana pyramidata-2";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;2;"Maireana pyramidata";"Sclerolaena divaricata";2;2;"13-1-Maireana pyramidata-2";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;2;"Bare";"Lotus cruentus";1;0,5;"13-1-Bare-2";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;3;"Bare";"Sclerolaena brachyptera";5;1;"13-1-Bare-3";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;3;"Maireana pyramidata";"Maireana turbinata";7;15;"13-1-Maireana pyramidata-3";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;3;"Maireana pyramidata";"Lotus cruentus";2;0,5;"13-1-Maireana pyramidata-3";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;3;"Maireana pyramidata";"Sclerolaena divaricata";2;5;"13-1-Maireana pyramidata-3";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;3;"Maireana pyramidata";"Sclerolaena ventricosa";2;2;"13-1-Maireana pyramidata-3";2;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;3;"Bare";"Lotus cruentus";2;0,5;"13-1-Bare-3";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;3;"Bare";"Sclerolaena brachyptera";5;10;"13-1-Bare-3";1;3;0,9011
40;"Australia";"Eldridge, David";"Fowlers";13;1;4;"Maireana pyramidata";"Minuria cunninghamii";3;5;"13-1-Maireana pyramidata-4";2;3;0,9011
