"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";10;4;125,7;1;1;NA;NA;NA;"28-1-Juniperus formosana-1";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;1;1;NA;NA;NA;"28-1-Bare-1";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";8;4;100,5;2;1;NA;NA;NA;"28-1-Juniperus formosana-2";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;2;1;"Setaria viridis";50;1;"28-1-Bare-2";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";10;4;125,7;3;1;NA;NA;NA;"28-1-Juniperus formosana-3";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;3;1;"Setaria viridis";20;1;"28-1-Bare-3";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";20;4;251,3;4;1;NA;NA;NA;"28-1-Juniperus formosana-4";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;4;1;"Agrostis tenuis";5;1;"28-1-Bare-4";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;4;1;"Setaria viridis";10;1;"28-1-Bare-4";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";12;8;301,6;5;1;"Agrostis tenuis";10;1;"28-1-Juniperus formosana-5";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;5;1;"Tribulus terrestris";10;1;"28-1-Bare-5";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";15;12;565,5;6;1;"Agrostis tenuis";2;1;"28-1-Juniperus formosana-6";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;6;1;"Kummerowia stipulacea";2;1;"28-1-Bare-6";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;6;1;"Setaria viridis";5;1;"28-1-Bare-6";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";10;8;251,3;7;1;NA;NA;NA;"28-1-Juniperus formosana-7";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;7;1;"Setaria viridis";5;1;"28-1-Bare-7";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";12;8;301,6;8;1;"Tribulus terrestris";10;1;"28-1-Juniperus formosana-8";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;8;1;"Agrostis tenuis";2;1;"28-1-Bare-8";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";12;10;377;9;1;NA;NA;NA;"28-1-Juniperus formosana-9";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;9;1;"Setaria viridis";10;3;"28-1-Bare-9";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";4;3;37,7;10;1;NA;NA;NA;"28-1-Juniperus formosana-10";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;10;1;NA;NA;NA;"28-1-Bare-10";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";10;10;314,2;11;1;"Agrostis tenuis";18;2;"28-1-Juniperus formosana-11";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;11;1;NA;NA;NA;"28-1-Bare-11";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";7;6;131,9;13;1;NA;NA;NA;"28-1-Juniperus formosana-13";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;13;1;NA;NA;NA;"28-1-Bare-13";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";15;11;518,4;14;1;NA;NA;NA;"28-1-Juniperus formosana-14";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;14;1;NA;NA;NA;"28-1-Bare-14";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";11;7;241,9;15;1;NA;NA;NA;"28-1-Juniperus formosana-15";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;15;1;NA;NA;NA;"28-1-Bare-15";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";17;12;640,9;16;1;"Setaria viridis";10;1;"28-1-Juniperus formosana-16";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;16;1;"Bassia dasyphylla";5;2;"28-1-Bare-16";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";11;8;276,5;17;1;NA;NA;NA;"28-1-Juniperus formosana-17";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;17;1;"Setaria viridis";25;2;"28-1-Bare-17";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";15;15;706,9;18;1;NA;NA;NA;"28-1-Juniperus formosana-18";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;0;18;1;"Setaria viridis";5;1;"28-1-Bare-18";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";8;7;NA;19;1;NA;NA;NA;"28-1-Juniperus formosana-19";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;19;1;NA;NA;NA;"28-1-Bare-19";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";9;6;169,6;20;1;NA;NA;NA;"28-1-Juniperus formosana-20";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;20;1;"Bassia dasyphylla";30;1;"28-1-Bare-20";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";17;11;587,5;21;1;"Bassia dasyphylla";20;4;"28-1-Juniperus formosana-21";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;21;1;"Bassia dasyphylla";15;5;"28-1-Bare-21";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;21;1;"Setaria viridis";5;1;"28-1-Bare-21";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";23;11;794,8;22;1;"Setaria viridis";8;2;"28-1-Juniperus formosana-22";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;22;1;"Setaria viridis";5;4;"28-1-Bare-22";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;22;1;"Bassia dasyphylla";3;1;"28-1-Bare-22";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";10;8;251,3;23;1;"Agrostis tenuis";15;6;"28-1-Juniperus formosana-23";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";10;8;251,3;23;1;"Bassia dasyphylla";5;2;"28-1-Juniperus formosana-23";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;23;1;"Bassia dasyphylla";5;4;"28-1-Bare-23";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";2;"Juniperus formosana";14;11;483,8;24;1;"Setaria viridis";20;3;"28-1-Juniperus formosana-24";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;24;1;"Setaria viridis";20;5;"28-1-Bare-24";3;0,8074
93;"China";"Chongfeng Bu";"Etuoke";28;1;"2017/07/28";1;"Bare";NA;NA;NA;24;1;"Bassia dasyphylla";5;2;"28-1-Bare-24";3;0,8074
