"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
114;"China";"Xiaobing Zhou";"Muri";34;2;"2017.6.5";"2";"Ceratoides latens";45;30;23;1;1;"Seriphidium borotalense";35;7;"34-2-Ceretoides latens-1";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;1;1;"Seriphidium borotalense";20;6;"34-2-Bare-1";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";34;20;16;2;NA;"Seriphidium borotalense";18;6;"34-2-Ceretoides latens-2";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;2;NA;"Seriphidium borotalense";20;9;"34-2-Bare-2";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";35;24;16;3;NA;"Seriphidium borotalense";40;7;"34-2-Ceretoides latens-3";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;3;NA;"Seriphidium borotalense";38;12;"34-2-Bare-3";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";31;28;23;4;NA;"Seriphidium borotalense";10;7;"34-2-Ceretoides latens-4";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;4;NA;"Seriphidium borotalense";8;8;"34-2-Bare-4";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";60;63;30;5;NA;"Seriphidium borotalense";5;7;"34-2-Ceretoides latens-5";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;5;NA;"Seriphidium borotalense";40;5;"34-2-Bare-5";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";36;35;21;6;NA;"Seriphidium borotalense";10;5;"34-2-Ceretoides latens-6";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";36;35;21;6;NA;"Kochia prostrata";6;11;"34-2-Ceretoides latens-6";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;6;NA;"Seriphidium borotalense";20;8;"34-2-Bare-6";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";45;30;30;7;NA;"Seriphidium borotalense";12;6;"34-2-Ceretoides latens-7";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;7;NA;"Seriphidium borotalense";20;6;"34-2-Bare-7";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";33;23;20;8;NA;"Seriphidium borotalense";25;10;"34-2-Ceretoides latens-8";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;8;NA;"Seriphidium borotalense";25;7;"34-2-Bare-8";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";50;41;29;9;NA;"Seriphidium borotalense";28;8;"34-2-Ceretoides latens-9";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";50;41;29;9;NA;"Kochia prostrata";2;4;"34-2-Ceretoides latens-9";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;9;NA;"Seriphidium borotalense";28;9;"34-2-Bare-9";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;9;NA;"Kochia prostrata";1;1;"34-2-Bare-9";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";30;27;20;10;NA;"Seriphidium borotalense";20;10;"34-2-Ceretoides latens-10";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";30;27;20;10;NA;"Kochia prostrata";2;5;"34-2-Ceretoides latens-10";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;10;NA;"Seriphidium borotalense";15;8;"34-2-Bare-10";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;10;NA;"Kochia prostrata";1;2;"34-2-Bare-10";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";40;45;23;11;NA;"Seriphidium borotalense";30;7;"34-2-Atraphaxis spinosa-11";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;11;NA;"Seriphidium borotalense";35;7;"34-2-Bare-11";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;11;NA;"Kochia prostrata";3;2;"34-2-Bare-11";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";12;25;30;12;NA;"Seriphidium borotalense";40;8;"34-2-Ceretoides latens-12";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;12;NA;"Seriphidium borotalense";25;10;"34-2-Bare-12";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";45;30;34;13;NA;"Seriphidium borotalense";20;4;"34-2-Ceretoides latens-13";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;13;NA;"Seriphidium borotalense";45;13;"34-2-Bare-13";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";30;16;25;14;NA;"Seriphidium borotalense";20;5;"34-2-Ceretoides latens-14";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";30;16;25;14;NA;"Kochia prostrata";3;2;"34-2-Ceretoides latens-14";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;14;NA;"Seriphidium borotalense";20;10;"34-2-Bare-14";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"2017.6.5";"2";"Atraphaxis spinosa";45;32;23;15;NA;"Seriphidium borotalense";18;3;"34-2-Atraphaxis spinosa-15";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";45;32;23;15;NA;"Kochia prostrata";4;4;"34-2-Atraphaxis spinosa-15";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;15;NA;"Seriphidium borotalense";30;6;"34-2-Bare-15";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;15;NA;"Kochia prostrata";1;1;"34-2-Bare-15";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";55;42;30;16;NA;"Seriphidium borotalense";18;10;"34-2-Ceretoides latens-16";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;16;NA;"Seriphidium borotalense";28;6;"34-2-Bare-16";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;16;NA;"Kochia prostrata";1;1;"34-2-Bare-16";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";40;35;22;17;NA;"Seriphidium borotalense";20;8;"34-2-Ceretoides latens-17";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";40;35;22;17;NA;"Kochia prostrata";2;3;"34-2-Ceretoides latens-17";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;17;NA;"Seriphidium borotalense";30;8;"34-2-Bare-17";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";76;65;30;18;NA;"Seriphidium borotalense";4;3;"34-2-Ceretoides latens-18";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;18;NA;"Seriphidium borotalense";18;6;"34-2-Bare-18";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";26;17;16;19;NA;"Seriphidium borotalense";20;5;"34-2-Ceretoides latens-19";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;19;NA;"Seriphidium borotalense";45;7;"34-2-Bare-19";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";32;30;25;20;NA;"Seriphidium borotalense";35;13;"34-2-Atraphaxis spinosa-20";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;20;NA;"Seriphidium borotalense";15;7;"34-2-Bare-20";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;20;NA;"Kochia prostrata";1;1;"34-2-Bare-20";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";40;30;25;21;NA;"Seriphidium borotalense";20;8;"34-2-Atraphaxis spinosa-21";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;21;NA;"Kochia prostrata";1;1;"34-2-Bare-21";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;21;NA;"Seriphidium borotalense";8;6;"34-2-Bare-21";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";33;36;40;22;NA;"Seriphidium borotalense";35;7;"34-2-Atraphaxis spinosa-22";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;22;NA;"Seriphidium borotalense";15;6;"34-2-Bare-22";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;22;NA;"Kochia prostrata";3;2;"34-2-Bare-22";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";32;32;15;23;NA;"Seriphidium borotalense";10;3;"34-2-Atraphaxis spinosa-23";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;23;NA;"Seriphidium borotalense";25;6;"34-2-Bare-23";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;23;NA;"Stipa glareosa";1;1;"34-2-Bare-23";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;23;NA;"Kochia prostrata";0,5;1;"34-2-Bare-23";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";30;30;23;24;NA;"Seriphidium borotalense";15;4;"34-2-Ceretoides latens-24";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";30;30;23;24;NA;"Stipa glareosa";2;6;"34-2-Ceretoides latens-24";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;24;NA;"Kochia prostrata";2;4;"34-2-Bare-24";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;24;NA;"Seriphidium borotalense";25;5;"34-2-Bare-24";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;24;NA;"Stipa glareosa";2;3;"34-2-Bare-24";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";40;35;23;25;NA;"Seriphidium borotalense";15;8;"34-2-Atraphaxis spinosa-25";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";40;35;23;25;NA;"Stipa glareosa";3;8;"34-2-Atraphaxis spinosa-25";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;25;NA;"Seriphidium borotalense";45;6;"34-2-Bare-25";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"2017.6.5";"2";"Atraphaxis spinosa";55;40;40;26;1;"Seriphidium borotalense";15;7;"34-2-Atraphaxis spinosa-26";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;26;NA;"Seriphidium borotalense";30;8;"34-2-Bare-26";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;26;NA;"Stipa glareosa";4;6;"34-2-Bare-26";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";43;40;33;27;NA;"Seriphidium borotalense";25;8;"34-2-Atraphaxis spinosa-27";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;27;NA;"Seriphidium borotalense";15;10;"34-2-Bare-27";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";45;35;25;28;NA;"Seriphidium borotalense";20;8;"34-2-Atraphaxis spinosa-28";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;28;NA;"Seriphidium borotalense";20;9;"34-2-Bare-28";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";56;40;20;29;NA;"Seriphidium borotalense";15;7;"34-2-Atraphaxis spinosa-29";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;29;NA;"Seriphidium borotalense";20;5;"34-2-Bare-29";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";55;35;24;30;NA;"Seriphidium borotalense";30;4;"34-2-Atraphaxis spinosa-30";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;30;NA;"Seriphidium borotalense";40;7;"34-2-Bare-30";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;30;NA;"Atraphaxis spinosa";10;2;"34-2-Bare-30";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;30;NA;"Stipa glareosa";2;4;"34-2-Bare-30";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";56;54;24;31;NA;"Seriphidium borotalense";25;8;"34-2-Ceretoides latens-31";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";56;54;24;31;NA;"Stipa glareosa";0,5;1;"34-2-Ceretoides latens-31";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;31;NA;"Seriphidium borotalense";20;6;"34-2-Bare-31";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;31;NA;"Stipa glareosa";1,5;3;"34-2-Bare-31";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";40;30;25;32;NA;"Seriphidium borotalense";18;7;"34-2-Atraphaxis spinosa-32";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";40;30;25;32;NA;"Stipa glareosa";1,5;3;"34-2-Atraphaxis spinosa-32";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;32;NA;"Seriphidium borotalense";20;7;"34-2-Bare-32";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";40;25;24;33;NA;"Seriphidium borotalense";15;6;"34-2-Ceretoides latens-33";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;33;NA;"Seriphidium borotalense";20;9;"34-2-Bare-33";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";45;30;25;34;NA;"Seriphidium borotalense";10;4;"34-2-Ceretoides latens-34";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";45;30;25;34;NA;"Stipa glareosa";2;4;"34-2-Ceretoides latens-34";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;34;NA;"Seriphidium borotalense";40;8;"34-2-Bare-34";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;34;NA;"Stipa glareosa";2;5;"34-2-Bare-34";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";30;20;24;35;NA;"Seriphidium borotalense";20;10;"34-2-Atraphaxis spinosa-35";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";30;20;24;35;NA;"Stipa glareosa";3;7;"34-2-Atraphaxis spinosa-35";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;35;NA;"Seriphidium borotalense";30;9;"34-2-Bare-35";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";44;30;30;36;NA;"Seriphidium borotalense";40;8;"34-2-Atraphaxis spinosa-36";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";44;30;30;36;NA;"Stipa glareosa";2;1;"34-2-Atraphaxis spinosa-36";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;36;NA;"Seriphidium borotalense";10;6;"34-2-Bare-36";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;36;NA;"Stipa glareosa";3;6;"34-2-Bare-36";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";35;25;20;37;NA;"Seriphidium borotalense";30;10;"34-2-Atraphaxis spinosa-37";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";35;25;20;37;NA;"Stipa glareosa";1;1;"34-2-Atraphaxis spinosa-37";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;37;NA;"Seriphidium borotalense";25;9;"34-2-Bare-37";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"2017.6.5";"2";"Atraphaxis spinosa";43;40;30;38;NA;"Seriphidium borotalense";20;10;"34-2-Atraphaxis spinosa-38";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";43;40;30;38;NA;"Stipa glareosa";3;4;"34-2-Atraphaxis spinosa-38";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;38;NA;"Seriphidium borotalense";35;9;"34-2-Bare-38";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";44;30;20;39;NA;"Seriphidium borotalense";25;10;"34-2-Atraphaxis spinosa-39";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;39;NA;"Seriphidium borotalense";30;8;"34-2-Bare-39";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";35;35;35;40;NA;"Seriphidium borotalense";30;9;"34-2-Atraphaxis spinosa-40";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";35;35;35;40;NA;"Stipa glareosa";4;8;"34-2-Atraphaxis spinosa-40";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;40;NA;"Seriphidium borotalense";40;14;"34-2-Bare-40";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;40;NA;"Stipa glareosa";3;3;"34-2-Bare-40";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";62;50;30;41;NA;"Seriphidium borotalense";8;4;"34-2-Ceretoides latens-41";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Ceratoides latens";62;50;30;41;NA;"Stipa glareosa";2;3;"34-2-Ceretoides latens-41";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;41;NA;"Seriphidium borotalense";25;6;"34-2-Bare-41";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"1";"Bare";NA;NA;NA;41;NA;"Stipa glareosa";3;5;"34-2-Bare-41";2;0,9446
114;"China";"Xiaobing Zhou";"Muri";34;2;"";"2";"Atraphaxis spinosa";40;25;25;42;NA;"Seriphidium borotalense";30;8;"34-2-Atraphaxis spinosa-42";2;0,9446
