"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Number.of.individuals";"Cover";"microsite_rep";"GRAZ";"ARIDITY.v3"
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;1;1;"Salsola arbusculiformis";5;1;"41-1-Artemisia sieberi-1";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;1;1;NA;NA;NA;"41-1-Bare-1";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;2;1;NA;NA;NA;"41-1-Artemisia sieberi-2";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;2;1;NA;NA;NA;"41-1-Bare-2";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;3;1;NA;NA;NA;"41-1-Artemisia sieberi-3";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;3;1;NA;NA;NA;"41-1-Bare-3";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;4;1;NA;NA;NA;"41-1-Artemisia sieberi-4";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;4;1;NA;NA;NA;"41-1-Bare-4";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;5;1;NA;NA;NA;"41-1-Artemisia sieberi-5";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;5;1;NA;NA;NA;"41-1-Bare-5";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;6;1;"Lappula barbata";5;3;"41-1-Artemisia sieberi-6";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;6;1;"Lappula barbata";1;1;"41-1-Bare-6";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;7;1;NA;NA;NA;"41-1-Artemisia sieberi-7";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;7;1;NA;NA;NA;"41-1-Bare-7";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;8;1;"Stipa lessingiana";1;1;"41-1-Artemisia sieberi-8";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;8;1;NA;NA;NA;"41-1-Bare-8";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;9;1;"Acanthophyllum sp.";15;1;"41-1-Artemisia sieberi-9";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;9;1;NA;NA;NA;"41-1-Bare-9";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;10;1;NA;NA;NA;"41-1-Artemisia sieberi-10";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;10;1;NA;NA;NA;"41-1-Bare-10";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;11;1;NA;NA;NA;"41-1-Artemisia sieberi-11";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;11;1;NA;NA;NA;"41-1-Bare-11";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;12;1;NA;NA;NA;"41-1-Artemisia sieberi-12";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;12;1;NA;NA;NA;"41-1-Bare-12";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;13;1;NA;NA;NA;"41-1-Artemisia sieberi-13";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;13;1;NA;NA;NA;"41-1-Bare-13";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;14;1;"Stipa lessingiana";2;1;"41-1-Artemisia sieberi-14";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;14;1;"Stipa lessingiana";1;1;"41-1-Bare-14";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";2;"Artemisia sieberi";"";NA;NA;15;1;NA;NA;NA;"41-1-Artemisia sieberi-15";3;0,8256
134;"Iran";"Abedi, Mehdi";"Alikhani";41;1;"18-Jun-16";1;"Bare";"";NA;NA;15;1;NA;NA;NA;"41-1-Bare-15";3;0,8256
