"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Number.of.individuals";"Cover";"microsite_rep";"GRAZ";"ARIDITY.v3"
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";2;"Acantholimon erinaceum";60;60;2826;1;NA;"Poa bulbosa";5;28;"43-1-Acantholimon erinaceum-1";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";1;"Bare";NA;NA;NA;1;NA;NA;NA;NA;"43-1-Bare-1";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";2;"Acantholimon erinaceum";41;40;1287,4;2;NA;"Elymus repens";1;7;"43-1-Acantholimon erinaceum-2";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";2;"Acantholimon erinaceum";41;40;1287,4;2;NA;"Poa bulbosa";1;3;"43-1-Acantholimon erinaceum-2";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";1;"Bare";NA;NA;NA;2;NA;"Poa bulbosa";1;7;"43-1-Bare-2";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";2;"Acantholimon erinaceum";53;55;2288,275;3;NA;NA;NA;NA;"43-1-Acantholimon erinaceum-3";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";1;"Bare";NA;NA;NA;3;NA;"Poa bulbosa";1;21;"43-1-Bare-3";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";2;"Acantholimon erinaceum";26;26;530,66;4;NA;NA;NA;NA;"43-1-Acantholimon erinaceum-4";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";1;"Bare";NA;NA;NA;4;NA;NA;NA;NA;"43-1-Bare-4";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";2;"Acantholimon erinaceum";30;32;753,6;5;NA;NA;NA;NA;"43-1-Acantholimon erinaceum-5";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";1;"Bare";NA;NA;NA;5;NA;NA;NA;NA;"43-1-Bare-5";3;0,7586
140;"Iran";"Farzam, Mohammad (Jankju)";"Baharkish";43;1;"7-Jul-16";2;"Acantholimon erinaceum";63;56;2769,48;6;NA;"Poa bulbosa";2;20;"43-1-Acantholimon erinaceum-6";3;0,7586
