"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;1;1;NA;NA;NA;"46-1-Bare-1";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Pistacia lentiscus";1700;900;1201659,19;1;1;"Phillyrea latifolia";1;1;"46-1-Pistacia lentiscus-1";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Pistacia lentiscus";1700;900;1201659,19;1;1;"Rhamnus lycioides";10;3;"46-1-Pistacia lentiscus-1";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Pistacia lentiscus";1700;900;1201659,19;1;1;"Asparagus aphyllus";1;1;"46-1-Pistacia lentiscus-1";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Pistacia lentiscus";1700;900;1201659,19;1;1;"Ephedra foeminea";2;2;"46-1-Pistacia lentiscus-1";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;2;1;"Capparis spinosa";10;2;"46-1-Bare-2";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Pistacia lentiscus";450;420;148440,2529;2;1;"Rhamnus lycioides";70;1;"46-1-Pistacia lentiscus-2";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Pistacia lentiscus";450;420;148440,2529;2;1;"Ephedra foeminea";10;1;"46-1-Pistacia lentiscus-2";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Pistacia lentiscus";450;420;148440,2529;2;1;"Capparis spinosa";5;2;"46-1-Pistacia lentiscus-2";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Pistacia lentiscus";450;420;148440,2529;2;1;"Asparagus aphyllus";2;2;"46-1-Pistacia lentiscus-2";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;3;1;NA;NA;NA;"46-1-Bare-3";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";380;360;107442,4688;3;1;"Ephedra foeminea";40;1;"46-1-Rhamnus lycioides-3";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";380;360;107442,4688;3;1;"Asparagus aphyllus";20;1;"46-1-Rhamnus lycioides-3";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";380;360;107442,4688;3;1;"Pistacia lentiscus";5;3;"46-1-Rhamnus lycioides-3";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";380;360;107442,4688;3;1;"Prasium majus";10;1;"46-1-Rhamnus lycioides-3";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;4;1;NA;NA;NA;"46-1-Bare-4";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";350;370;101709,0622;4;1;"Ephedra foeminea";85;1;"46-1-Rhamnus lycioides-4";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";350;370;101709,0622;4;1;"Asparagus aphyllus";5;3;"46-1-Rhamnus lycioides-4";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";350;370;101709,0622;4;1;"Pistacia lentiscus";10;1;"46-1-Rhamnus lycioides-4";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;5;1;NA;NA;NA;"46-1-Bare-5";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";500;500;196349,5408;5;1;"Asparagus aphyllus";10;1;"46-1-Rhamnus lycioides-5";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";500;500;196349,5408;5;1;"Olea europaea";5;1;"46-1-Rhamnus lycioides-5";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";500;500;196349,5408;5;1;"Pistacia lentiscus";10;2;"46-1-Rhamnus lycioides-5";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";500;500;196349,5408;5;1;"Ephedra foeminea";30;1;"46-1-Rhamnus lycioides-5";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;6;1;NA;NA;NA;"46-1-Bare-6";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";120;110;10367,25576;6;1;NA;NA;NA;"46-1-Rhamnus lycioides-6";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;7;1;NA;NA;NA;"46-1-Bare-7";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";210;270;44532,07586;7;1;"Capparis spinosa";30;2;"46-1-Rhamnus lycioides-7";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";210;270;44532,07586;7;1;"Pistacia lentiscus";5;1;"46-1-Rhamnus lycioides-7";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";210;270;44532,07586;7;1;"Ephedra foeminea";20;1;"46-1-Rhamnus lycioides-7";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";210;270;44532,07586;7;1;"Asparagus aphyllus";2;1;"46-1-Rhamnus lycioides-7";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;8;1;NA;NA;NA;"46-1-Bare-8";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";380;470;140272,112;8;1;"Pistacia lentiscus";10;1;"46-1-Rhamnus lycioides-8";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";380;470;140272,112;8;1;"Phagnalon rupestre";2;1;"46-1-Rhamnus lycioides-8";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";380;470;140272,112;8;1;"Ephedra foeminea";30;1;"46-1-Rhamnus lycioides-8";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";380;470;140272,112;8;1;"Asparagus aphyllus";5;1;"46-1-Rhamnus lycioides-8";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";1;"Bare";NA;NA;NA;9;1;NA;NA;NA;"46-1-Bare-9";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";650;550;280779,8434;9;1;"Ballota undulata";30;7;"46-1-Rhamnus lycioides-9";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";650;550;280779,8434;9;1;"Prasium majus";20;1;"46-1-Rhamnus lycioides-9";3;0,7905
151;"Israel";"Zaady, Eli";"Beit Nir";46;1;"2016/06/16";2;"Rhamnus lycioides";650;550;280779,8434;9;1;"Ephedra foeminea";20;1;"46-1-Rhamnus lycioides-9";3;0,7905
