"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";60;85;NA;1;"N/A";NA;NA;NA;"65-1-Rhigozum trichotomum-1";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";60;85;NA;1;"N/A";NA;NA;NA;"65-1-Bare-1";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";140;120;NA;2;"N/A";"Acacia mellifera";10;1;"65-1-Rhigozum trichotomum-2";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";140;120;NA;2;"N/A";NA;NA;NA;"65-1-Bare-2";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";60;75;NA;3;"N/A";NA;NA;NA;"65-1-Rhigozum trichotomum-3";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";60;75;NA;3;"N/A";NA;NA;NA;"65-1-Bare-3";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";55;60;NA;4;"N/A";NA;NA;NA;"65-1-Rhigozum trichotomum-4";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";55;60;NA;4;"N/A";NA;NA;NA;"65-1-Bare-4";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";85;90;NA;5;"N/A";NA;NA;NA;"65-1-Rhigozum trichotomum-5";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";85;90;NA;5;"N/A";NA;NA;NA;"65-1-Bare-5";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";55;60;NA;6;"N/A";NA;NA;NA;"65-1-Rhigozum trichotomum-6";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";55;60;NA;6;"N/A";NA;NA;NA;"65-1-Bare-6";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";140;130;NA;7;"N/A";NA;NA;NA;"65-1-Rhigozum trichotomum-7";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";140;130;NA;7;"N/A";"Stipagrostis amabilis";1;1;"65-1-Bare-7";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";120;120;NA;8;"N/A";NA;NA;NA;"65-1-Rhigozum trichotomum-8";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";120;120;NA;8;"N/A";NA;NA;NA;"65-1-Bare-8";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";2;"Rhigozum trichotomum";110;120;NA;9;"N/A";NA;NA;NA;"65-1-Rhigozum trichotomum-9";3;0,9129
214;"Namibia";"Wang, Lixing";"Viljoenskroon";65;1;"Dec 29 2016";1;"Bare";110;120;NA;9;"N/A";"Rhigozum trichotomum";5;1;"65-1-Bare-9";3;0,9129
