"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"height.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";46;44;11,5;6358,5984;1;"1";"Plantago albicans";10;3;"84-1-Thymus zygis-1";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";46;44;11,5;6358,5984;1;"1";"Helianthemum hirtum";5;3;"84-1-Thymus zygis-1";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";46;44;11,5;6358,5984;1;"1";"Stipa barbata";20;7;"84-1-Thymus zygis-1";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";46;44;11,5;6358,5984;1;"1";"Matthiola fruticulosa";1;1;"84-1-Thymus zygis-1";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;1;"1";"Plantago albicans";10;10;"84-1-Bare-1";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;1;"1";"Helianthemum hirtum";4;1;"84-1-Bare-1";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;1;"1";"Linum suffruticosum";1;2;"84-1-Bare-1";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;1;"1";"Stipa barbata";10;12;"84-1-Bare-1";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";52;44;17,5;7187,9808;2;"1";"Linum suffruticosum";1;1;"84-1-Thymus zygis-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";52;44;17,5;7187,9808;2;"1";"Plantago albicans";2,5;3;"84-1-Thymus zygis-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";52;44;17,5;7187,9808;2;"1";"Helianthemum hirtum";1;1;"84-1-Thymus zygis-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";52;44;17,5;7187,9808;2;"1";"Stipa barbata";1;1;"84-1-Thymus zygis-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;2;"1";"Teucrium gnaphalodes";13;3;"84-1-Bare-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;2;"1";"Plantago albicans";7,5;7;"84-1-Bare-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;2;"1";"Linum suffruticosum";2,5;4;"84-1-Bare-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;2;"1";"Helianthemum asperum";5;3;"84-1-Bare-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;2;"1";"Matthiola fruticulosa";2,5;6;"84-1-Bare-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;2;"1";"Stipa barbata";7,5;6;"84-1-Bare-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;2;"1";"Coronilla minima";1;1;"84-1-Bare-2";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";50;40;14;6283,2;3;"1";"Linum suffruticosum";1;2;"84-1-Thymus zygis-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";50;40;14;6283,2;3;"1";"Teucrium gnaphalodes";1;1;"84-1-Thymus zygis-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";50;40;14;6283,2;3;"1";"Stipa barbata";6;4;"84-1-Thymus zygis-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";50;40;14;6283,2;3;"1";"Plantago albicans";1;2;"84-1-Thymus zygis-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;3;"1";"Plantago albicans";20;19;"84-1-Bare-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;3;"1";"Stipa barbata";2,5;5;"84-1-Bare-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;3;"1";"Linum suffruticosum";1;2;"84-1-Bare-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;3;"1";"Helianthemum rotundifolium";1;1;"84-1-Bare-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";1;"Bare";NA;NA;NA;NA;3;"1";"Helianthemum hirtum";1;1;"84-1-Bare-3";3;0,7498
272;"Spain";"Maestre, Fernando";"Ciempozuelos";84;1;"2016/06/06";2;"Thymus zygis";50;34;10;5340,72;4;"1";"Linum suffruticosum";1;2;"84-1-Thymus zygis-4";3;0,7498
