"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"height.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";180;140;105;79168,32;1;"";"Thymus";1;1;"89-1-Palmito-1";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;1;"";"Thymus";6;5;"89-1-Bare-1";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;1;"";"Lavandula multifida";NA;3;"89-1-Bare-1";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";270;230;150;195093,36;2;"";"Lavandula multifida";1;7;"89-1-Palmito-2";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";270;230;150;195093,36;2;"";"Thymus";1;3;"89-1-Palmito-2";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";270;230;150;195093,36;2;"";"Teucrium sp1";NA;3;"89-1-Palmito-2";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";270;230;150;195093,36;2;"";"Phlomis lychnitis";NA;1;"89-1-Palmito-2";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;2;"";"Stipa";5;1;"89-1-Bare-2";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;2;"";"Phlomis lychnitis";NA;1;"89-1-Bare-2";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;2;"";"Thymus";NA;1;"89-1-Bare-2";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;2;"";"Lavandula multifida";NA;2;"89-1-Bare-2";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";220;170;80;117495,84;3;"";"Stipa";1;1;"89-1-Palmito-3";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";220;170;80;117495,84;3;"";"Lavandula multifida";NA;1;"89-1-Palmito-3";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;3;"";"Lavandula multifida";NA;6;"89-1-Bare-3";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";100;120;70;37699,2;4;"";"Thymus";NA;1;"89-1-Palmito-4";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";100;120;70;37699,2;4;"";"Lycium";5;1;"89-1-Palmito-4";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;4;"";NA;NA;NA;"89-1-Bare-4";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";260;220;140;179699,52;5;"";"Phlomis purpurea";2;1;"89-1-Palmito-5";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";260;220;140;179699,52;5;"";"Teucrium";NA;1;"89-1-Palmito-5";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;5;"";"Lavandula multifida";NA;2;"89-1-Bare-5";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;5;"";"Asparagus horridus";NA;1;"89-1-Bare-5";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;5;"";"Thymus";NA;1;"89-1-Bare-5";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";200;140;70;87964,8;6;"";"Phlomis purpurea";1;5;"89-1-Palmito-6";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";200;140;70;87964,8;6;"";"Teucrium sp1";NA;1;"89-1-Palmito-6";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;6;"";"Thymus";5;3;"89-1-Bare-6";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;6;"";"Lavandula multifida";2;5;"89-1-Bare-6";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;6;"";"Phlomis lychnitis";2;1;"89-1-Bare-6";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;6;"";"Tussock sp.";1;1;"89-1-Bare-6";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";230;190;95;137287,92;7;"";"Phagnalon sp.";NA;1;"89-1-Palmito-7";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";230;190;95;137287,92;7;"";"Rhamnus";NA;1;"89-1-Palmito-7";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";230;190;95;137287,92;7;"";"Lavandula multifida";NA;1;"89-1-Palmito-7";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";1;"Bare";NA;NA;NA;NA;7;"";"Lavandula multifida";NA;2;"89-1-Bare-7";3;0,8575
289;"Spain";"Rey, Pedro";"Monsul";89;1;"2017/03/31";2;"Palmito";250;220;110;172788;8;"";"Palmito";NA;NA;"89-1-Palmito-8";3;0,8575
