ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Number of individuals
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,2,Stipa tenacissima ,70,65,3578.467359,1,,Scorzonera undulata,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,1,,Scorzonera undulata,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,1,,Iris sisyrhinchum,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,1,,Allium cupani,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,2,Stipa tenacissima ,120,90,8659.007438,2,,Atractylis serratuloides,1,4
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,2,Stipa tenacissima ,120,90,8659.007438,2,,Scorzonera undulata,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,2,,Atractylis serratuloides,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,2,,Plantago albicans,3,30
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,2,,Allium cupani,1,2
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,2,Stipa tenacissima ,97,75,5808.79991,3,,Atractylis serratuloides,1,2
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,2,Stipa tenacissima ,97,75,5808.79991,3,,Allium cupani,1,2
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,2,Stipa tenacissima ,97,75,5808.79991,3,,Scorzonera undulata,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,3,,Echium trygorhizum,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,2,Stipa tenacissima ,150,110,13273.21775,4,,Atractylis serratuloides,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,4,,Ajuga eva,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,4,,Plantago albicans,1,10
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,4,,Stipa barbata,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,4,,Allium cupani,1,1
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,2,Stipa tenacissima ,75,110,6720.057359,5,,Empty,,
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,5,,Atractylis serratuloides,1,5
1,Algeria,"Fateh, Amghar",El Ouassria,1,1,2017/04/12,1,Bare,,,,5,,Plantago albicans,1,1
