ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%)
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,1,,Festuca pyrogea,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,1,,Nassauvia darwinii,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,1,,Viola maculata,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,1,,Cerastium arvense,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Nassauvia darwinii,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Festuca pallescens,20
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Acaena integerrima,2
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,1,,Cerastium arvense,3
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,2,,Nassauvia darwinii,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,2,,Festuca pyrogea,15
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,2,Acaena integerrima,112,115,10116,2,,Cerastium arvense,4
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Nassauvia darwinii,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Festuca pyrogea,2
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Acaena integerrima,5
83,Chile,"Fajardo, Alex",Bano nuevo,25,1,2017/03/21,1,bare soil,,,,2,,Cerastium arvense,2
