ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Number of individuals
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,130,57177.1 ,1,1,Ixeridium chinense (Thunb.) Tzvel.,1,3
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,1,1,Bassia dasyphylla,0.5,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,1,1,Setaria viridis (L.) Beauv.,0.3,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,120,100,37699.2 ,2,1,Setaria viridis (L.) Beauv.,0.2,4
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,120,100,37699.2 ,2,1,Psammochloa villosa (Trin.) Bor,0.2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,2,1,Bassia dasyphylla,1,5
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,2,1,Setaria viridis (L.) Beauv.,1,6
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,110,48380.6 ,3,1,Ixeridium chinense (Thunb.) Tzvel.,2,9
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,110,48380.6 ,3,1,Setaria viridis (L.) Beauv.,1,6
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,110,48380.6 ,3,1,Euphorbia thymifolia L.,2,10
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,, ,3,1,,,
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,110,90,31101.8 ,4,1,Heteropappus altaicus (Willd) Novopokr,5,25
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,110,90,31101.8 ,4,1,Euphorbia thymifolia L.,2,7
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,110,90,31101.8 ,4,1,Bassia dasyphylla,1,5
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,4,1,Bassia dasyphylla,3,15
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,4,1,Ixeridium chinense (Thunb.) Tzvel.,0.2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,80,70,17593.0 ,5,1,Setaria viridis (L.) Beauv.,2,7
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,80,70,17593.0 ,5,1,Bassia dasyphylla,0.1,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,80,70,17593.0 ,5,1,Euphorbia thymifolia L.,1,4
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,80,70,17593.0 ,5,1,Heteropappus altaicus (Willd) Novopokr,1,4
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,80,70,17593.0 ,5,1,Ixeridium chinense (Thunb.) Tzvel.,0.2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,, ,5,1,,,
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,90,28274.4 ,6,1,Setaria viridis (L.) Beauv.,1,5
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,90,28274.4 ,6,1,Ixeridium chinense (Thunb.) Tzvel.,0.1,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,90,28274.4 ,6,1,Heteropappus altaicus (Willd) Novopokr,0.3,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,90,28274.4 ,6,1,Euphorbia thymifolia L.,3,20
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,6,1,Bassia dasyphylla,1,5
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,6,1,Artemisia desertorum Spreng. Syst. Veg.,5,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,6,1,Heteropappus altaicus (Willd) Novopokr,0.5,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,120,100,37699.2 ,7,1,Ixeridium chinense (Thunb.) Tzvel.,0.5,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,, ,7,1,Artemisia desertorum Spreng. Syst. Veg.,15,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,150,120,56548.8 ,8,1,Ixeridium chinense (Thunb.) Tzvel.,2,10
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,150,120,56548.8 ,8,1,Heteropappus altaicus (Willd) Novopokr,3,3
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,150,120,56548.8 ,8,1,Lithospermum arvense,2,20
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,, ,8,1,Psammochloa villosa (Trin.) Bor,2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,120,52778.9 ,9,1,Ixeridium chinense (Thunb.) Tzvel.,3,20
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,120,52778.9 ,9,1,Lithospermum arvense,0.1,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,9,1,Bassia dasyphylla,1,3
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,9,1,Ixeridium chinense (Thunb.) Tzvel.,0.1,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,120,90,33929.3 ,10,1,Ixeridium chinense (Thunb.) Tzvel.,1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,120,90,33929.3 ,10,1,Lithospermum arvense,2,10
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,120,90,33929.3 ,10,1,Heteropappus altaicus (Willd) Novopokr,1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,120,90,33929.3 ,10,1,Euphorbia thymifolia L.,1,10
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,, ,10,1,Ixeridium chinense (Thunb.) Tzvel.,0.2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,130,90,36756.7 ,11,1,Setaria viridis (L.) Beauv.,2,7
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,130,90,36756.7 ,11,1,Heteropappus altaicus (Willd) Novopokr,1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,11,1,Ixeridium chinense (Thunb.) Tzvel.,2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,11,1,Psammochloa villosa (Trin.) Bor,5,3
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,90,28274.4 ,12,1,Lithospermum arvense,0.1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,90,28274.4 ,12,1,Bassia dasyphylla,0.1,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,, ,12,1,,,
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,110,100,34557.6 ,13,1,Ixeridium chinense (Thunb.) Tzvel.,0.1,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,13,1,Bassia dasyphylla,1,5
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,13,1,Ixeridium chinense (Thunb.) Tzvel.,0.1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,90,80,22619.5 ,14,1,Ixeridium chinense (Thunb.) Tzvel.,0.3,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,90,80,22619.5 ,14,1,ding,0.1,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,14,1,Bassia dasyphylla,0.5,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,14,1,Ixeridium chinense (Thunb.) Tzvel.,0.2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,120,80,30159.4 ,15,1,Ixeridium chinense (Thunb.) Tzvel.,1,12
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,15,1,Heteropappus altaicus (Willd) Novopokr,0.2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,15,1,Bassia dasyphylla,1,3
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,70,60,13194.7 ,16,1,Heteropappus altaicus (Willd) Novopokr,1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,16,1,Heteropappus altaicus (Willd) Novopokr,1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,16,1,Artemisia desertorum Spreng. Syst. Veg.,4,3
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,80,25132.8 ,17,1,Ixeridium chinense (Thunb.) Tzvel.,3,13
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,80,25132.8 ,17,1,Setaria viridis (L.) Beauv.,1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,80,25132.8 ,17,1,Euphorbia thymifolia L.,0.5,4
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,80,25132.8 ,17,1,ding,1,10
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,, ,17,1,Bassia dasyphylla,1,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,100,31416.0 ,18,1,Ixeridium chinense (Thunb.) Tzvel.,1,4
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,100,31416.0 ,18,1,Bassia dasyphylla,0.1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,100,100,31416.0 ,18,1,Heteropappus altaicus (Willd) Novopokr,1,3
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,18,1,Ixeridium chinense (Thunb.) Tzvel.,0.5,3
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,18,1,Lithospermum arvense,0.5,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,,,18,1,Heteropappus altaicus (Willd) Novopokr,0.1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,70,60,13194.7 ,19,1,,,
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,1,bare,,, ,19,1,Ixeridium chinense (Thunb.) Tzvel.,1,2
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,100,43982.4 ,20,1,Astragalus melilotoides Pall.,2,1
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,100,43982.4 ,20,1,Heteropappus altaicus (Willd) Novopokr,1,4
102,China,Chongfeng Bu,Yuyang,30,3,2017/07/26,2,Artemisia desertorum Spreng. Syst. Veg.,140,100,43982.4 ,20,1,Ixeridium chinense (Thunb.) Tzvel.,1,5
