ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Number of individuals
113,China,Xiaobing Zhou,Muri,34,1,2017.6.4,no data,,,,,,,,,
114,China,Xiaobing Zhou,Muri,34,2,2017.6.5,2,Ceretoides latens,45,30,23,1,1,Seriphidium borotalense,35,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,1,1,Seriphidium borotalense,20,6
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,34,20,16,2,,Seriphidium borotalense,18,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,2,,Seriphidium borotalense,20,9
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,35,24,16,3,,Seriphidium borotalense,40,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,3,,Seriphidium borotalense,38,12
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,31,28,23,4,,Seriphidium borotalense,10,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,4,,Seriphidium borotalense,8,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,60,63,30,5,,Seriphidium borotalense,5,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,5,,Seriphidium borotalense,40,5
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,36,35,21,6,,Seriphidium borotalense,10,5
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,36,35,21,6,,Kochia prostrata,6,11
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,6,,Seriphidium borotalense,20,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,45,30,30,7,,Seriphidium borotalense,12,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,7,,Seriphidium borotalense,20,6
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,33,23,20,8,,Seriphidium borotalense,25,10
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,8,,Seriphidium borotalense,25,7
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,50,41,29,9,,Seriphidium borotalense,28,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,50,41,29,9,,Kochia prostrata,2,4
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,9,,Seriphidium borotalense,28,9
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,9,,Kochia prostrata,1,1
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,30,27,20,10,,Seriphidium borotalense,20,10
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,30,27,20,10,,Kochia prostrata,2,5
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,10,,Seriphidium borotalense,15,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,10,,Kochia prostrata,1,2
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,40,45,23,11,,Seriphidium borotalense,30,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,11,,Seriphidium borotalense,35,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,11,,Kochia prostrata,3,2
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,12,25,30,12,,Seriphidium borotalense,40,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,12,,Seriphidium borotalense,25,10
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,45,30,34,13,,Seriphidium borotalense,20,4
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,13,,Seriphidium borotalense,45,13
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,30,16,25,14,,Seriphidium borotalense,20,5
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,30,16,25,14,,Kochia prostrata,3,2
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,14,,Seriphidium borotalense,20,10
114,China,Xiaobing Zhou,Muri,34,2,2017.6.5,2,Atraphaxis spinosa,45,32,23,15,,Seriphidium borotalense,18,3
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,45,32,23,15,,Kochia prostrata,4,4
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,15,,Seriphidium borotalense,30,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,15,,Kochia prostrata,1,1
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,55,42,30,16,,Seriphidium borotalense,18,10
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,16,,Seriphidium borotalense,28,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,16,,Kochia prostrata,1,1
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,40,35,22,17,,Seriphidium borotalense,20,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,40,35,22,17,,Kochia prostrata,2,3
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,17,,Seriphidium borotalense,30,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,76,65,30,18,,Seriphidium borotalense,4,3
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,18,,Seriphidium borotalense,18,6
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,26,17,16,19,,Seriphidium borotalense,20,5
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,19,,Seriphidium borotalense,45,7
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,32,30,25,20,,Seriphidium borotalense,35,13
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,20,,Seriphidium borotalense,15,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,20,,Kochia prostrata,1,1
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,40,30,25,21,,Seriphidium borotalense,20,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,21,,Kochia prostrata,1,1
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,21,,Seriphidium borotalense,8,6
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,33,36,40,22,,Seriphidium borotalense,35,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,22,,Seriphidium borotalense,15,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,22,,Kochia prostrata,3,2
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,32,32,15,23,,Seriphidium borotalense,10,3
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,23,,Seriphidium borotalense,25,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,23,,Seipa glareosa,1,1
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,23,,Kochia prostrata,0.5,1
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,30,30,23,24,,Seriphidium borotalense,15,4
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,30,30,23,24,,Seipa glareosa,2,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,24,,Kochia prostrata,2,4
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,24,,Seriphidium borotalense,25,5
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,24,,Seipa glareosa,2,3
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,40,35,23,25,,Seriphidium borotalense,15,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,40,35,23,25,,Seipa glareosa,3,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,25,,Seriphidium borotalense,45,6
114,China,Xiaobing Zhou,Muri,34,2,2017.6.5,2,Atraphaxis spinosa,55,40,40,26,1,Seriphidium borotalense,15,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,26,,Seriphidium borotalense,30,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,26,,Seipa glareosa,4,6
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,43,40,33,27,,Seriphidium borotalense,25,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,27,,Seriphidium borotalense,15,10
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,45,35,25,28,,Seriphidium borotalense,20,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,28,,Seriphidium borotalense,20,9
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,56,40,20,29,,Seriphidium borotalense,15,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,29,,Seriphidium borotalense,20,5
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,55,35,24,30,,Seriphidium borotalense,30,4
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,30,,Seriphidium borotalense,40,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,30,,Atraphaxis spinosa,10,2
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,30,,Seipa glareosa,2,4
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,56,54,24,31,,Seriphidium borotalense,25,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,56,54,24,31,,Seipa glareosa,0.5,1
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,31,,Seriphidium borotalense,20,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,31,,Seipa glareosa,1.5,3
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,40,30,25,32,,Seriphidium borotalense,18,7
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,40,30,25,32,,Seipa glareosa,1.5,3
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,32,,Seriphidium borotalense,20,7
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,40,25,24,33,,Seriphidium borotalense,15,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,33,,Seriphidium borotalense,20,9
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,45,30,25,34,,Seriphidium borotalense,10,4
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,45,30,25,34,,Seipa glareosa,2,4
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,34,,Seriphidium borotalense,40,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,34,,Seipa glareosa,2,5
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,30,20,24,35,,Seriphidium borotalense,20,10
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,30,20,24,35,,Seipa glareosa,3,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,35,,Seriphidium borotalense,30,9
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,44,30,30,36,,Seriphidium borotalense,40,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,44,30,30,36,,Seipa glareosa,2,1
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,36,,Seriphidium borotalense,10,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,36,,Seipa glareosa,3,6
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,35,25,20,37,,Seriphidium borotalense,30,10
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,35,25,20,37,,Seipa glareosa,1,1
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,37,,Seriphidium borotalense,25,9
114,China,Xiaobing Zhou,Muri,34,2,2017.6.5,2,Atraphaxis spinosa,43,40,30,38,,Seriphidium borotalense,20,10
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,43,40,30,38,,Seipa glareosa,3,4
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,38,,Seriphidium borotalense,35,9
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,44,30,20,39,,Seriphidium borotalense,25,10
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,39,,Seriphidium borotalense,30,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,35,35,35,40,,Seriphidium borotalense,30,9
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,35,35,35,40,,Seipa glareosa,4,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,40,,Seriphidium borotalense,40,14
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,40,,Seipa glareosa,3,3
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,62,50,30,41,,Seriphidium borotalense,8,4
114,China,Xiaobing Zhou,Muri,34,2,,2,Ceretoides latens,62,50,30,41,,Seipa glareosa,2,3
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,41,,Seriphidium borotalense,25,6
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,41,,Seipa glareosa,3,5
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,40,25,25,42,,Seriphidium borotalense,30,8
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,40,25,25,42,,Seipa glareosa,1.5,2
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,42,,Seriphidium borotalense,30,7
114,China,Xiaobing Zhou,Muri,34,2,,2,Atraphaxis spinosa,45,45,30,43,,Seriphidium borotalense,45,8
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,43,,Seriphidium borotalense,35,7
114,China,Xiaobing Zhou,Muri,34,2,,1,bare,,,,43,,Seipa glareosa,3,6
