ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Number of individuals,approx.,comments
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,180,210,,1,,Sida cordifolia,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,180,210,,1,,Commiphora angolensis,1.0,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,180,210,,1,,Commelina benghalensis,0.5,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,180,210,,1,,Acacia luederitzii,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,180,210,,1,,Rhynchosia totta var. fenchelii,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,180,210,,1,,Herb indet. 1,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,180,210,,1,,Grewia flavescens,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,180,210,,1,,Cyperus margaritaceus,0.5,11,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,1,,Ipomoea bolusiana,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,1,,Eragrostis trichophora,1.0,4,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,270,220,,2,,Bauhinia petersiana,10.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,270,220,,2,,Croton gratissimus,1.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,270,220,,2,,Commiphora angolensis,6.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,270,220,,2,,Grewia flavescens,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,270,220,,2,,Herb indet. 1,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,2,,Eragrostis trichophora,2.0,12,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,210,290,,3,,Bauhinia petersiana,12.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,210,290,,3,,Croton gratissimus,1.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,210,290,,3,,Acacia ataxacantha,10.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,210,290,,3,,Commiphora africana,1.0,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,210,290,,3,,Commiphora angolensis,1.0,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,210,290,,3,,Rhynchosia totta var. fenchelii,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,3,,Ozoroa schinzii,4.0,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,3,,Commiphora africana,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,3,,Ipomoea bolusiana,0.5,1,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,1,bare,,,,3,,Eragrostis trichophora,0.5,2,,
199,Namibia,"Blaum, Niels Florian Jeltsch",Sonop,60,1,2017/02/27,2,Acacia fleckii,360,320,,4,,Rhynchosia totta var. fenchelii,2.0,7,,
