ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),height(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Number of individuals
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,46,44,11.5,6358.5984,1,1,Plantago albicans,10,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,46,44,11.5,6358.5984,1,1,Helianthemum hirtum,5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,46,44,11.5,6358.5984,1,1,Stipa barbata,20,7
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,46,44,11.5,6358.5984,1,1,Matthiola fruticulosa,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,1,1,Plantago albicans,10,10
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,1,1,Helianthemum hirtum,4,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,1,1,Linum suffruticosum,1,2
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,1,1,Stipa barbata,10,12
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,52,44,17.5,7187.9808,2,1,Linum suffruticosum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,52,44,17.5,7187.9808,2,1,Plantago albicans,2.5,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,52,44,17.5,7187.9808,2,1,Helianthemum hirtum,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,2,Thymus zygis,52,44,17.5,7187.9808,2,1,Stipa barbata,1,1
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,1,Teucrium gnaphalodes,13,3
272,Spain,"Maestre, Fernando",Ciempozuelos,84,1,2016/06/06,1,bare,,,,,2,1,Plantago albicans,7.5,7
