ID,COU,RES,SITE,SITE_ID,PLOT,Site,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),height (cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Nd individuals,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Macrochloa tenacissima,70,80,70,17592.96,1,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,80,70,70,17592.96,1,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Anthyllis cytisoides ,85,100,70,26703.6,1,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,85,100,70,26703.6,1,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Retama sphaerocarpa,90,65,120,18378.36,1,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,90,65,120,18378.36,1,,Anthyllis cytisoides,0.1,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Macrochloa tenacissima,130,110,100,44924.88,2,,Thymus mastichina,2,2,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Macrochloa tenacissima,130,110,100,44924.88,2,,Phagnalon sp.,2,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Macrochloa tenacissima,130,110,100,44924.88,2,,Artemisia herba-alba,0.1,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,130,110,100,44924.88,2,,Thymus zygis,1,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Retama sphaerocarpa,210,200,160,131947.2,2,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,210,200,160,131947.2,2,,Retama sphaerocarpa,2,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,210,200,160,131947.2,2,,Artemisia herba-alba,1,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Anthyllis cytisoides ,70,65,50,14294.28,2,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,70,65,50,14294.28,2,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Retama sphaerocarpa,140,160,160,70371.84,3,,Thymus mastichina,15,5,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Retama sphaerocarpa,140,160,160,70371.84,3,,Artemisia herba-alba,1,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,140,160,160,70371.84,3,,Artemisia herba-alba,0.8,2,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Anthyllis cytisoides ,85,20,60,5340.72,3,,Anthyllis cytisoides,0.1,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Anthyllis cytisoides ,85,20,60,5340.72,3,,Thymus mastichina,10,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Anthyllis cytisoides ,85,20,60,5340.72,3,,Thymus zygis,1,1,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,85,20,60,5340.72,3,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Macrochloa tenacissima,100,70,60,21991.2,3,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,1,Bare soil,100,70,60,21991.2,3,,-,0,0,
297,Spain,"Rey, Pedro",Verdelecho,91,1,Gergal_WP,2017/04/24,2,Anthyllis cytisoides ,100,100,80,31416,4,,Anthyllis cytisoides,5,2,
