"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";70;65;3578,467359;1;NA;"Scorzonera undulata";1;1;"1-1-Stipa tenacissima -1";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;1;NA;"Scorzonera undulata";1;1;"1-1-Bare-1";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;1;NA;"Iris sisyrynchium";1;1;"1-1-Bare-1";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;1;NA;"Allium cupani";1;1;"1-1-Bare-1";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";120;90;8659,007438;2;NA;"Atractylis serratuloides";1;4;"1-1-Stipa tenacissima -2";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";120;90;8659,007438;2;NA;"Scorzonera undulata";1;1;"1-1-Stipa tenacissima -2";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;2;NA;"Atractylis serratuloides";1;1;"1-1-Bare-2";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;2;NA;"Plantago albicans";3;30;"1-1-Bare-2";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;2;NA;"Allium cupani";1;2;"1-1-Bare-2";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";97;75;5808,79991;3;NA;"Atractylis serratuloides";1;2;"1-1-Stipa tenacissima -3";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";97;75;5808,79991;3;NA;"Allium cupani";1;2;"1-1-Stipa tenacissima -3";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";97;75;5808,79991;3;NA;"Scorzonera undulata";1;1;"1-1-Stipa tenacissima -3";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;3;NA;"Echium trygorrhizum";1;1;"1-1-Bare-3";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";150;110;13273,21775;4;NA;"Atractylis serratuloides";1;1;"1-1-Stipa tenacissima -4";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;4;NA;"Ajuga iva";1;1;"1-1-Bare-4";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;4;NA;"Plantago albicans";1;10;"1-1-Bare-4";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;4;NA;"Stipa barbata";1;1;"1-1-Bare-4";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;4;NA;"Allium cupani";1;1;"1-1-Bare-4";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";75;110;6720,057359;5;NA;NA;NA;NA;"1-1-Stipa tenacissima -5";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;5;NA;"Atractylis serratuloides";1;5;"1-1-Bare-5";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;5;NA;"Plantago albicans";1;1;"1-1-Bare-5";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;5;NA;"Stipa barbata";1;1;"1-1-Bare-5";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;5;NA;"Iris sisyrynchium";1;1;"1-1-Bare-5";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";120;110;10386,88194;6;NA;"Atractylis serratuloides";1;1;"1-1-Stipa tenacissima -6";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";120;110;10386,88194;6;NA;"Iris sisyrynchium";1;1;"1-1-Stipa tenacissima -6";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";2;"Stipa tenacissima";120;110;10386,88194;6;NA;"Paronychia argentea";1;1;"1-1-Stipa tenacissima -6";3;0,8301
1;"Algeria";"Fateh, Amghar";"El Ouassria";1;1;"2017/04/12";1;"Bare";NA;NA;NA;6;NA;"Atractylis serratuloides";1;1;"1-1-Bare-6";3;0,8301
