"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";140;150;NA;1;NA;"Amelichloa ambigua";10;1;"6-1-Condalia microphylla-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";140;150;NA;1;NA;"Sphaeralcea mendocina";1;2;"6-1-Condalia microphylla-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";140;150;NA;1;NA;"Nassella longiglumis";70;18;"6-1-Condalia microphylla-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";140;150;NA;1;NA;"Baccharis ulicina";5;1;"6-1-Condalia microphylla-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";140;150;NA;1;NA;"Conyza lorentzii";1;2;"6-1-Condalia microphylla-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";140;150;NA;1;NA;"Nassella tenuis";1;2;"6-1-Condalia microphylla-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";140;150;NA;1;NA;"Glandularia parodii";20;3;"6-1-Condalia microphylla-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";1;"Bare";NA;NA;NA;1;NA;"Amelichloa ambigua";10;1;"6-1-Bare-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";1;"Bare";NA;NA;NA;1;NA;"Sphaeralcea mendocina";1;7;"6-1-Bare-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";1;"Bare";NA;NA;NA;1;NA;"Nassella longiglumis";70;45;"6-1-Bare-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";1;"Bare";NA;NA;NA;1;NA;"Nassella tenuis";1;3;"6-1-Bare-1";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";250;220;NA;2;NA;"Pappostipa humilis";1;2;"6-1-Condalia microphylla-2";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";250;220;NA;2;NA;"Lycium chilense";65;NA;"6-1-Condalia microphylla-2";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";250;220;NA;2;NA;"Schinus johnstonii";1;1;"6-1-Condalia microphylla-2";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";250;220;NA;2;NA;"Conyza lorentzii";1;4;"6-1-Condalia microphylla-2";3;0,8212
16;"Argentina";"Peter, Guadalupe";"Rio Colorado";6;1;"2016/08/01";2;"Condalia microphylla";250;220;NA;2;NA;"Ephedra triandra";60;NA;"6-1-Condalia microphylla-2";3;0,8212
