"ID";"COU";"RES";"SITE";"SITE_ID";"PLOT";"Date";"Microsite";"ID_Microsite";"diameter_1.cm.";"diameter_2.cm.";"canopy.area..cm2.";"Number.of.replicate";"Quadrat";"Species.within.quadrat";"Cover";"Number.of.individuals";"microsite_rep";"GRAZ";"ARIDITY.v3"
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Asparagus cooperi";1;14;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Lycium bosciifolium";6;7;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Pavonia burchellii";1;67;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Momordica balsamina";3;14;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Pergularia daemia";0,5;19;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Pollichia campestris";2;76;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Ziziphus mucronata";3;2;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Pupalia lappacea";0,5;2;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Rhynchosia minima";0,5;7;"58-1-Acacia hebeclada-1";3;0,897
193;"Namibia";"Blaum, Niels Florian Jeltsch";"Ebenhaezer";58;1;"2017/03/26";2;"Acacia hebeclada";720;920;NA;1;NA;"Stipagrostis uniplumis";0,5;20;"58-1-Acacia hebeclada-1";3;0,897
