ID,COU,RES,SITE,SITE_ID,PLOT,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Number of individuals,Cover (%)
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,60,60,2826,1,,Poa bulbosa,5,28
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,1,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,41,40,1287.4,2,,Elymus repens,1,7
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,41,40,1287.4,2,,Poa bulbosa,1,3
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,2,,Poa bulbosa,1,7
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,53,55,2288.275,3,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,3,,Poa bulbosa,1,21
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,26,26,530.66,4,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,4,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,30,32,753.6,5,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,5,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,63,56,2769.48,6,,Poa bulbosa,2,20
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,6,,Poa bulbosa,4,37
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,36,51,1441.26,7,,Poa bulbosa,3,82
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,7,,Poa bulbosa,10,327
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,32,29,728.48,8,,Poa bulbosa,5,158
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,8,,,,
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,46,51,1841.61,9,,Poa bulbosa,1,59
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,9,,Poa bulbosa,3,99
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,1,bare,,,,9,,Eremurus stenophyllus,3,79
140,Iran,"Farzam, Mohammad (Jankju)",Baharkish,43,1,7-Jul-16,2,Acantholimon erinaceum,29,29,660.185,10,,,,
