"","table_no","p_value","ID","species","nurse_p","nurse_a","bare_p","bare_a"
"1",1,0.00631127872852991,"1","Scorzonera undulata",10,15,1,24
"2",2,0.414992666397882,"1","Iris sisyrynchium",2,23,5,20
"3",3,1,"1","Allium cupani",6,19,6,19
"4",4,0.363081723558431,"1","Atractylis serratuloides",10,15,6,19
"5",5,0.00288062307000675,"1","Plantago albicans",1,24,11,14
"6",6,1,"1","Echium trygorrhizum",1,24,2,23
"7",7,0.47048642205879,"1","Ajuga iva",0,25,2,23
"8",8,0.0133283287808176,"1","Stipa barbata",1,24,9,16
"9",9,0.47048642205879,"1","Paronychia argentea",2,23,0,25
"10",10,1,"1","Stipa parviflora",1,24,0,25
"11",11,0.0732540997782142,"2","Plantago albicans",13,12,20,5
"12",12,1,"2","Artemisia campestris",2,23,2,23
"13",13,0.00184718524347832,"2","Allium cupani",7,18,19,6
"14",14,0.570371569411399,"2","Atractylis serratuloides",15,10,12,13
"15",15,0.47048642205879,"2","Scorzonera undulata",0,25,2,23
"16",16,0.00146271658668115,"2","Stipa parviflora",0,25,10,15
"17",17,0.0204530373828016,"2","Iris sisyrynchium",2,23,10,15
"18",18,1,"2","Matthiola longipetala",2,23,1,24
"19",19,1,"2","Ajuga iva",0,25,1,24
"20",20,1,"2","Echium trygorrhizum",1,24,0,25
"21",21,0.47048642205879,"2","Salvia verbenaca",2,23,0,25
"22",22,1,"2","Paronychia argentea",1,24,2,23
"23",23,1,"2","Helanthemum aperta",0,25,1,24
"24",24,0.0886592320827466,"3","Atractylis serratuloides",10,15,17,8
"25",25,0.000585142024432057,"3","Iris sisyrynchium",8,17,21,4
"26",26,0.00937476845943488,"3","Allium cupani",10,15,20,5
"27",27,0.0475369312020691,"3","Plantago albicans",8,17,16,9
"28",28,0.34577858615116,"3","Ajuga iva",1,24,4,21
"29",29,1,"3","Salvia verbenaca",1,24,1,24
"30",30,0.663421515816855,"3","Telephium imperati",2,23,4,21
"31",31,0.233660388894587,"3","Stipa parviflora",0,25,3,22
"32",32,1,"3","Paronychia argentea",2,23,1,24
"33",33,1,"3","Stipa barbata",0,25,1,24
"34",34,0.34577858615116,"3","Scorzonera undulata",1,24,4,21
"35",35,1,"3","Noaea mucronata",1,24,1,24
"36",36,0.307434165927395,"16","Amelichloa ambigua",57,18,63,12
"37",37,0.0980654445519799,"16","Sphaeralcea mendocina",38,37,49,26
"38",38,0.62417529487533,"16","Nassella longiglumis",35,40,39,36
"39",39,0.141609291165312,"16","Baccharis ulicina",42,33,32,43
"40",40,0.00361948715408272,"16","Conyza lorentzii",14,61,2,73
"41",41,0.817472865017008,"16","Nassella tenuis",63,12,65,10
"42",42,1,"16","Glandularia parodii",33,42,34,41
"43",43,1.97034391660213e-06,"16","Pappostipa humilis",49,26,19,56
"44",44,0.00654153219372658,"16","Lycium chilense",18,57,5,70
"45",45,0.763441463864832,"16","Schinus johnstonii",7,68,5,70
"46",46,0.211299547333711,"16","Ephedra triandra",5,70,1,74
"47",47,0.132369546811101,"16","Aloysia gratissima",9,66,3,72
"48",48,0.0351390449725864,"16","Pappostipa speciosa",10,65,2,73
"49",49,0.243443186193133,"16","Poa ligularis",3,72,0,75
"50",50,1,"16","Oxalis lasiopetala",1,74,0,75
"51",51,0.275656516273492,"16","Chuquiraga rosulata",6,69,2,73
"52",52,1,"16","Prosopis flexuosa",5,70,6,69
"53",53,0.326120250511336,"16","Senna aphylla",12,63,7,68
"54",54,1,"16","Senecio melanopotamicus",1,74,0,75
"55",55,1,"16","Condalia microphylla",3,72,2,73
"56",56,0.561630252856753,"16","Baccharis gilliesii",8,67,5,70
"57",57,0.716323887581356,"16","Trichocline sinuata",3,72,5,70
"58",58,0.243443186193133,"16","Jarava plumosa",0,75,3,72
"59",59,1,"16","Boopis anthemoides",4,71,5,70
"60",60,1,"16","Ephedra ochreata",0,75,1,74
"61",61,0.36297143233983,"16","Bredemeyera microphylla",4,71,1,74
"62",62,1,"16","Junellia seriphioides",2,73,1,74
"63",63,0.491695786196846,"16","Poa lanuginosa",6,69,3,72
"64",64,1,"16","Monttea aphylla",1,74,1,74
"65",65,0.476546211785049,"16","Baccharis melanopotamica",2,73,0,75
"66",66,0.612293027457368,"16","Geoffroea decorticans",3,72,1,74
"67",67,0.612293027457368,"16","Acantholippia seriphioides",1,74,3,72
"68",68,1,"16","Brachyclados lycioides",1,74,0,75
"69",69,1,"16","Pappophorum vaginatum",3,72,2,73
"70",70,1,"16","Spergula ramosa",2,73,3,72
"71",71,1,"16","Prosopidastrum globosum",1,74,1,74
"72",72,0.612293027457368,"16","Hysterionica jasionoides",3,72,1,74
"73",73,1,"16","Larrea divaricata",0,75,1,74
"74",74,1,"16","Larrea cuneifolia",1,74,0,75
"75",75,0.135625181600047,"17","Pappostipa humilis",36,39,26,49
"76",76,0.612563396364337,"17","Baccharis ulicina",30,45,26,49
"77",77,1.75736518171131e-06,"17","Poa lanuginosa",31,44,5,70
"78",78,0.187448724637035,"17","Cardionema ramosissima",28,47,37,38
"79",79,1,"17","Nassella tenuis",75,0,74,1
"80",80,0.637911547518857,"17","Senna aphylla",9,66,12,63
"81",81,1,"17","Euphorbia collina",1,74,0,75
"82",82,0.248507250182538,"17","Pappostipa speciosa",14,61,8,67
"83",83,0.36297143233983,"17","Nassella longiglumis",1,74,4,71
"84",84,0.742554341201578,"17","Glandularia parodii",40,35,43,32
"85",85,1,"17","Aristida mendocina",3,72,4,71
"86",86,0.000288105584482375,"17","Lycium chilense",20,55,3,72
"87",87,1,"17","Prosopis flexuosa",4,71,5,70
"88",88,1,"17","Baccharis melanopotamica",1,74,2,73
"89",89,1,"17","Senecio melanopotamicus",1,74,2,73
"90",90,0.612293027457368,"17","Chuquiraga rosulata",3,72,1,74
"91",91,1,"17","Bredemeyera microphylla",3,72,4,71
"92",92,0.740749397756571,"17","Sphaeralcea mendocina",30,45,33,42
"93",93,0.724798494378135,"17","Acantholippia seriphioides",25,50,22,53
"94",94,0.275656516273492,"17","Conyza lorentzii",6,69,2,73
"95",95,1,"17","Amelichloa ambigua",7,68,6,69
"96",96,1,"17","Ephedra ochreata",2,73,2,73
"97",97,1,"17","Junellia seriphioides",2,73,3,72
"98",98,0.810181236410474,"17","Baccharis gilliesii",11,64,9,66
"99",99,0.438806815987549,"17","Hysterionica jasionoides",5,70,2,73
"100",100,1,"17","Condalia microphylla",1,74,0,75
"101",101,1,"17","Trichocline sinuata",4,71,4,71
"102",102,0.00486223021013344,"17","Nassella chilensis",27,48,11,64
"103",103,1,"17","Prosopidastrum globosum",1,74,1,74
"104",104,0.612293027457368,"17","Boopis anthemoides",3,72,1,74
"105",105,0.243443186193133,"17","Larrea divaricata",0,75,3,72
"106",106,0.476546211785049,"17","Brachyclados lycioides",2,73,0,75
"107",107,1,"17","Ephedra triandra",2,73,2,73
"108",108,1,"17","Monttea aphylla",1,74,0,75
"109",109,1,"17","Gutierrezia baccharoides",1,74,0,75
"110",110,2.6679545936248e-06,"18","Lycium chilense",27,48,3,72
"111",111,0.612293027457368,"18","Prosopidastrum globosum",3,72,1,74
