"","table_no","p_value","exp_nurse_p","exp_nurse_a","exp_bare_p","exp_bare_a","res_nurse_p","res_nurse_a","res_bare_p","res_bare_a","site_ID","ID","graz","aridity","species","nurse_p","nurse_a","bare_p","bare_a","association"
"1",1,0.00631127872852991,5.5,5.5,19.5,19.5,1.91880644720049,-1.91880644720049,-1.01904933073014,1.01904933073014,"1","1","3","0.8301","Scorzonera undulata",10,15,1,24,"nurse"
"2",2,0.414992666397882,3.5,3.5,21.5,21.5,-0.801783725737273,0.801783725737273,0.323498319610315,-0.323498319610315,"1","1","3","0.8301","Iris sisyrynchium",2,23,5,20,"too_rare"
"3",3,1,6,6,19,19,0,0,0,0,"1","1","3","0.8301","Allium cupani",6,19,6,19,"neutral"
"4",4,0.363081723558431,8,8,17,17,0.707106781186547,-0.707106781186547,-0.485071250072666,0.485071250072666,"1","1","3","0.8301","Atractylis serratuloides",10,15,6,19,"neutral"
"5",5,0.00288062307000675,6,6,19,19,-2.04124145231932,2.04124145231932,1.14707866935281,-1.14707866935281,"1","1","3","0.8301","Plantago albicans",1,24,11,14,"bare"
"6",6,1,1.5,1.5,23.5,23.5,-0.408248290463863,0.408248290463863,0.103142124625879,-0.103142124625879,"1","1","3","0.8301","Echium trygorrhizum",1,24,2,23,"too_rare"
"7",7,0.47048642205879,1,1,24,24,-1,1,0.204124145231932,-0.204124145231932,"1","1","3","0.8301","Ajuga iva",0,25,2,23,"too_rare"
"8",8,0.0133283287808176,5,5,20,20,-1.78885438199983,1.78885438199983,0.894427190999916,-0.894427190999916,"1","1","3","0.8301","Stipa barbata",1,24,9,16,"bare"
"9",9,0.47048642205879,1,1,24,24,1,-1,-0.204124145231932,0.204124145231932,"1","1","3","0.8301","Paronychia argentea",2,23,0,25,"too_rare"
"10",10,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"1","1","3","0.8301","Stipa parviflora",1,24,0,25,"too_rare"
"11",11,0.0732540997782142,16.5,16.5,8.5,8.5,-0.861640436855329,0.861640436855329,1.20049009599756,-1.20049009599756,"1","2","2","0.8317","Plantago albicans",13,12,20,5,"neutral"
"12",12,1,2,2,23,23,0,0,0,0,"1","2","2","0.8317","Artemisia campestris",2,23,2,23,"too_rare"
"13",13,0.00184718524347832,13,13,12,12,-1.66410058867569,1.66410058867569,1.73205080756888,-1.73205080756888,"1","2","2","0.8317","Allium cupani",7,18,19,6,"bare"
"14",14,0.570371569411399,13.5,13.5,11.5,11.5,0.408248290463863,-0.408248290463863,-0.442325868464691,0.442325868464691,"1","2","2","0.8317","Atractylis serratuloides",15,10,12,13,"neutral"
"15",15,0.47048642205879,1,1,24,24,-1,1,0.204124145231932,-0.204124145231932,"1","2","2","0.8317","Scorzonera undulata",0,25,2,23,"too_rare"
"16",16,0.00146271658668115,5,5,20,20,-2.23606797749979,2.23606797749979,1.11803398874989,-1.11803398874989,"1","2","2","0.8317","Stipa parviflora",0,25,10,15,"bare"
"17",17,0.0204530373828016,6,6,19,19,-1.63299316185545,1.63299316185545,0.917662935482247,-0.917662935482247,"1","2","2","0.8317","Iris sisyrynchium",2,23,10,15,"bare"
"18",18,1,1.5,1.5,23.5,23.5,0.408248290463863,-0.408248290463863,-0.103142124625879,0.103142124625879,"1","2","2","0.8317","Matthiola longipetala",2,23,1,24,"too_rare"
"19",19,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"1","2","2","0.8317","Ajuga iva",0,25,1,24,"too_rare"
"20",20,1,0.5,0.5,24.5,24.5,0.707106781186547,-0.707106781186547,-0.101015254455221,0.101015254455221,"1","2","2","0.8317","Echium trygorrhizum",1,24,0,25,"too_rare"
"21",21,0.47048642205879,1,1,24,24,1,-1,-0.204124145231932,0.204124145231932,"1","2","2","0.8317","Salvia verbenaca",2,23,0,25,"too_rare"
"22",22,1,1.5,1.5,23.5,23.5,-0.408248290463863,0.408248290463863,0.103142124625879,-0.103142124625879,"1","2","2","0.8317","Paronychia argentea",1,24,2,23,"too_rare"
"23",23,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"1","2","2","0.8317","Helanthemum aperta",0,25,1,24,"too_rare"
"24",24,0.0886592320827466,13.5,13.5,11.5,11.5,-0.95257934441568,0.95257934441568,1.03209369308428,-1.03209369308428,"1","3","1","0.8317","Atractylis serratuloides",10,15,17,8,"neutral"
"25",25,0.000585142024432057,14.5,14.5,10.5,10.5,-1.70698362717639,1.70698362717639,2.00594354950719,-2.00594354950719,"1","3","1","0.8317","Iris sisyrynchium",8,17,21,4,"bare"
"26",26,0.00937476845943488,15,15,10,10,-1.29099444873581,1.29099444873581,1.58113883008419,-1.58113883008419,"1","3","1","0.8317","Allium cupani",10,15,20,5,"bare"
"27",27,0.0475369312020691,12,12,13,13,-1.15470053837925,1.15470053837925,1.10940039245046,-1.10940039245046,"1","3","1","0.8317","Plantago albicans",8,17,16,9,"bare"
"28",28,0.34577858615116,2.5,2.5,22.5,22.5,-0.948683298050514,0.948683298050514,0.316227766016838,-0.316227766016838,"1","3","1","0.8317","Ajuga iva",1,24,4,21,"too_rare"
"29",29,1,1,1,24,24,0,0,0,0,"1","3","1","0.8317","Salvia verbenaca",1,24,1,24,"too_rare"
"30",30,0.663421515816855,3,3,22,22,-0.577350269189626,0.577350269189626,0.21320071635561,-0.21320071635561,"1","3","1","0.8317","Telephium imperati",2,23,4,21,"too_rare"
"31",31,0.233660388894587,1.5,1.5,23.5,23.5,-1.22474487139159,1.22474487139159,0.309426373877638,-0.309426373877638,"1","3","1","0.8317","Stipa parviflora",0,25,3,22,"too_rare"
"32",32,1,1.5,1.5,23.5,23.5,0.408248290463863,-0.408248290463863,-0.103142124625879,0.103142124625879,"1","3","1","0.8317","Paronychia argentea",2,23,1,24,"too_rare"
"33",33,1,0.5,0.5,24.5,24.5,-0.707106781186547,0.707106781186547,0.101015254455221,-0.101015254455221,"1","3","1","0.8317","Stipa barbata",0,25,1,24,"too_rare"
"34",34,0.34577858615116,2.5,2.5,22.5,22.5,-0.948683298050514,0.948683298050514,0.316227766016838,-0.316227766016838,"1","3","1","0.8317","Scorzonera undulata",1,24,4,21,"too_rare"
"35",35,1,1,1,24,24,0,0,0,0,"1","3","1","0.8317","Noaea mucronata",1,24,1,24,"too_rare"
"36",36,0.307434165927395,60,60,15,15,-0.387298334620742,0.387298334620742,0.774596669241483,-0.774596669241483,"6","16","3","0.8212","Amelichloa ambigua",57,18,63,12,"neutral"
"37",37,0.0980654445519799,43.5,43.5,31.5,31.5,-0.833907847936794,0.833907847936794,0.979957887012223,-0.979957887012223,"6","16","3","0.8212","Sphaeralcea mendocina",38,37,49,26,"neutral"
"38",38,0.62417529487533,37,37,38,38,-0.328797974610715,0.328797974610715,0.324442842261525,-0.324442842261525,"6","16","3","0.8212","Nassella longiglumis",35,40,39,36,"neutral"
"39",39,0.141609291165312,37,37,38,38,0.821994936526786,-0.821994936526786,-0.811107105653813,0.811107105653813,"6","16","3","0.8212","Baccharis ulicina",42,33,32,43,"neutral"
"40",40,0.00361948715408272,8,8,67,67,2.12132034355964,-2.12132034355964,-0.733016666137831,0.733016666137831,"6","16","3","0.8212","Conyza lorentzii",14,61,2,73,"nurse"
"41",41,0.817472865017008,64,64,11,11,-0.125,0.125,0.301511344577764,-0.301511344577764,"6","16","3","0.8212","Nassella tenuis",63,12,65,10,"neutral"
"42",42,1,33.5,33.5,41.5,41.5,-0.086386842558136,0.086386842558136,0.0776150525706333,-0.0776150525706333,"6","16","3","0.8212","Glandularia parodii",33,42,34,41,"neutral"
"43",43,1.97034391660213e-06,34,34,41,41,2.57247877713763,-2.57247877713763,-2.34260642832909,2.34260642832909,"6","16","3","0.8212","Pappostipa humilis",49,26,19,56,"nurse"
"44",44,0.00654153219372658,11.5,11.5,63.5,63.5,1.91674543001366,-1.91674543001366,-0.815692546679606,0.815692546679606,"6","16","3","0.8212","Lycium chilense",18,57,5,70,"nurse"
"45",45,0.763441463864832,6,6,69,69,0.408248290463863,-0.408248290463863,-0.120385853085769,0.120385853085769,"6","16","3","0.8212","Schinus johnstonii",7,68,5,70,"neutral"
"46",46,0.211299547333711,3,3,72,72,1.15470053837925,-1.15470053837925,-0.235702260395516,0.235702260395516,"6","16","3","0.8212","Ephedra triandra",5,70,1,74,"too_rare"
"47",47,0.132369546811101,6,6,69,69,1.22474487139159,-1.22474487139159,-0.361157559257308,0.361157559257308,"6","16","3","0.8212","Aloysia gratissima",9,66,3,72,"neutral"
"48",48,0.0351390449725864,6,6,69,69,1.63299316185545,-1.63299316185545,-0.481543412343077,0.481543412343077,"6","16","3","0.8212","Pappostipa speciosa",10,65,2,73,"nurse"
"49",49,0.243443186193133,1.5,1.5,73.5,73.5,1.22474487139159,-1.22474487139159,-0.174963553055941,0.174963553055941,"6","16","3","0.8212","Poa ligularis",3,72,0,75,"too_rare"
"50",50,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","16","3","0.8212","Oxalis lasiopetala",1,74,0,75,"too_rare"
"51",51,0.275656516273492,4,4,71,71,1,-1,-0.237356331638771,0.237356331638771,"6","16","3","0.8212","Chuquiraga rosulata",6,69,2,73,"too_rare"
"52",52,1,5.5,5.5,69.5,69.5,-0.21320071635561,0.21320071635561,0.0599760143904067,-0.0599760143904067,"6","16","3","0.8212","Prosopis flexuosa",5,70,6,69,"neutral"
"53",53,0.326120250511336,9.5,9.5,65.5,65.5,0.811107105653813,-0.811107105653813,-0.308901031607608,0.308901031607608,"6","16","3","0.8212","Senna aphylla",12,63,7,68,"neutral"
"54",54,1,0.5,0.5,74.5,74.5,0.707106781186547,-0.707106781186547,-0.0579284446363492,0.0579284446363492,"6","16","3","0.8212","Senecio melanopotamicus",1,74,0,75,"too_rare"
"55",55,1,2.5,2.5,72.5,72.5,0.316227766016838,-0.316227766016838,-0.0587220219514703,0.0587220219514703,"6","16","3","0.8212","Condalia microphylla",3,72,2,73,"too_rare"
"56",56,0.561630252856753,6.5,6.5,68.5,68.5,0.588348405414552,-0.588348405414552,-0.181236627999053,0.181236627999053,"6","16","3","0.8212","Baccharis gilliesii",8,67,5,70,"neutral"
"57",57,0.716323887581356,4,4,71,71,-0.5,0.5,0.118678165819385,-0.118678165819385,"6","16","3","0.8212","Trichocline sinuata",3,72,5,70,"too_rare"
"58",58,0.243443186193133,1.5,1.5,73.5,73.5,-1.22474487139159,1.22474487139159,0.174963553055941,-0.174963553055941,"6","16","3","0.8212","Jarava plumosa",0,75,3,72,"too_rare"
"59",59,1,4.5,4.5,70.5,70.5,-0.235702260395516,0.235702260395516,0.0595491334175414,-0.0595491334175414,"6","16","3","0.8212","Boopis anthemoides",4,71,5,70,"too_rare"
"60",60,1,0.5,0.5,74.5,74.5,-0.707106781186547,0.707106781186547,0.0579284446363492,-0.0579284446363492,"6","16","3","0.8212","Ephedra ochreata",0,75,1,74,"too_rare"
"61",61,0.36297143233983,2.5,2.5,72.5,72.5,0.948683298050514,-0.948683298050514,-0.176166065854411,0.176166065854411,"6","16","3","0.8212","Bredemeyera microphylla",4,71,1,74,"too_rare"
"62",62,1,1.5,1.5,73.5,73.5,0.408248290463863,-0.408248290463863,-0.0583211843519804,0.0583211843519804,"6","16","3","0.8212","Junellia seriphioides",2,73,1,74,"too_rare"
"63",63,0.491695786196846,4.5,4.5,70.5,70.5,0.707106781186548,-0.707106781186548,-0.178647400252624,0.178647400252624,"6","16","3","0.8212","Poa lanuginosa",6,69,3,72,"too_rare"
"64",64,1,1,1,74,74,0,0,0,0,"6","16","3","0.8212","Monttea aphylla",1,74,1,74,"too_rare"
"65",65,0.476546211785049,1,1,74,74,1,-1,-0.116247638743819,0.116247638743819,"6","16","3","0.8212","Baccharis melanopotamica",2,73,0,75,"too_rare"
