"","site_ID","ID","aridity","graz","prop_bare_only","prop_nurse_only","prop_both","arid_sq"
"21","25","83",0.4952,"3",0.0666666666666667,0.4,0.533333333333333,0.24522304
"22","25","84",0.5028,"2",0,0.352941176470588,0.647058823529412,0.25280784
"23","25","85",0.515,"1",0.111111111111111,0.277777777777778,0.611111111111111,0.265225
"93","90","295",0.6278,"1",0.21875,0.21875,0.5625,0.39413284
"91","90","293",0.6304,"3",0.0769230769230769,0.153846153846154,0.769230769230769,0.39740416
"94","90","296",0.6422,"0",0.318181818181818,0.0454545454545455,0.636363636363636,0.41242084
"58","47","155",0.6631,"3",0,0,1,0.43970161
"59","47","156",0.6631,"2",1,0,0,0.43970161
"92","90","294",0.6682,"2",0.0833333333333333,0.125,0.791666666666667,0.44649124
"60","47","157",0.6719,"1",0.5,0.5,0,0.45144961
"61","47","158",0.6719,"0",0,0.666666666666667,0.333333333333333,0.45144961
"86","84","274",0.7474,"1",0.217391304347826,0.173913043478261,0.608695652173913,0.55860676
"34","30","103",0.7482,"0",0.1,0.1,0.8,0.55980324
"85","84","273",0.7485,"2",0.0588235294117647,0,0.941176470588235,0.56025225
"33","30","102",0.7487,"1",0.0833333333333333,0.0833333333333333,0.833333333333333,0.56055169
"31","30","100",0.7493,"3",0.1,0.3,0.6,0.56145049
"32","30","101",0.7493,"2",0.133333333333333,0.333333333333333,0.533333333333333,0.56145049
"84","84","272",0.7498,"3",0.238095238095238,0.19047619047619,0.571428571428571,0.56220004
"43","43","140",0.7586,"3",0.272727272727273,0.409090909090909,0.318181818181818,0.57547396
"44","43","141",0.7586,"2",0.193548387096774,0.193548387096774,0.612903225806452,0.57547396
"45","43","142",0.7586,"1",0.179487179487179,0.128205128205128,0.692307692307692,0.57547396
"18","15","48",0.7591,"3",0.25,0.5,0.25,0.57623281
"20","15","50",0.7591,"1",0.2,0.6,0.2,0.57623281
"46","43","143",0.7595,"0",0.173076923076923,0.0961538461538462,0.730769230769231,0.57684025
"19","15","49",0.7603,"2",0,0.5,0.5,0.57805609
"28","29","97",0.7721,"3",0.0416666666666667,0.0833333333333333,0.875,0.59613841
"29","29","98",0.7721,"2",0.137931034482759,0.137931034482759,0.724137931034483,0.59613841
"30","29","99",0.7721,"1",0.181818181818182,0.363636363636364,0.454545454545455,0.59613841
"56","46","153",0.7834,"1",0.454545454545455,0.272727272727273,0.272727272727273,0.61371556
"97","91","299",0.7874,"1",0,0.333333333333333,0.666666666666667,0.61999876
"96","91","298",0.7894,"2",0,0.714285714285714,0.285714285714286,0.62315236
"55","46","152",0.79,"2",0,0.9,0.1,0.6241
"54","46","151",0.7905,"3",0,0.9,0.1,0.62489025
"48","44","145",0.7968,"2",0.176470588235294,0.294117647058824,0.529411764705882,0.63489024
"49","44","146",0.7968,"0",0.1,0.05,0.85,0.63489024
"57","46","154",0.7976,"0",0.25,0,0.75,0.63616576
"47","44","144",0.7986,"3",0.112903225806452,0.193548387096774,0.693548387096774,0.63776196
"72","60","199",0.8036,"3",0.136363636363636,0.659090909090909,0.204545454545455,0.64577296
"73","60","200",0.8038,"2",0.0810810810810811,0.324324324324324,0.594594594594595,0.64609444
"74","60","201",0.8038,"1",0.15625,0.46875,0.375,0.64609444
"24","28","93",0.8074,"3",0.2,0,0.8,0.65189476
"14","14","44",0.8087,"3",0.125,0.875,0,0.65399569
"17","14","47",0.8087,"0",0,0.8,0.2,0.65399569
"16","14","46",0.8089,"1",0,0.363636363636364,0.636363636363636,0.65431921
"95","91","297",0.8089,"3",0,0.125,0.875,0.65431921
"26","28","95",0.8095,"1",0.111111111111111,0,0.888888888888889,0.65529025
"15","14","45",0.8097,"2",0.153846153846154,0.0769230769230769,0.769230769230769,0.65561409
"25","28","94",0.8113,"2",0.166666666666667,0.0555555555555556,0.777777777777778,0.65820769
"27","28","96",0.8133,"0",0.368421052631579,0.210526315789474,0.421052631578947,0.66145689
"40","42","137",0.8177,"3",0.0645161290322581,0.580645161290323,0.354838709677419,0.66863329
